source_record,env,guid,game_id,won,total_actions,levels_completed,annotation_elements,annotation_chars,review_role
2,sk48,ae7fa71b-5f0e-4460-8a76-ee13e54ac6f1.recording,sk48-d8078629,1,647,[8],8,39454,primary
3,sk48,01a5191c-a488-40b7-abf7-7cef06283cb0.recording,sk48-d8078629,0,331,[4],4,21611,
4,sk48,72b6c9b6-9138-40ff-96fa-f084327a3a5a.recording,sk48-d8078629,0,1850,[3],3,16478,comparison
5,sk48,b62df293-1d00-4689-83ef-75fa091b59d3.recording,sk48-d8078629,1,696,[8],8,38246,
6,sk48,fc416db5-aa41-4259-988f-6d2bfe664d17.recording,sk48-d8078629,0,904,[4],4,20394,
7,sk48,74db5f57-616a-4e99-8b23-12f18b5a1e6b.recording,sk48-d8078629,1,1154,[8],8,43663,
8,sk48,da6b0954-9a3d-4c03-9cf6-dd5d66a8d23f.recording,sk48-d8078629,1,850,[8],8,40961,
9,sk48,20fb75ad-57fa-4c94-b030-9316f4e61313.recording,sk48-d8078629,1,944,[8],8,38066,
10,sk48,03243599-4f62-41a9-bf9e-cc42bd41e74c.recording,sk48-d8078629,0,2950,[7],7,38856,
11,sk48,d2d6fa4b-fdf2-4f63-85b9-37d2b18e5298.recording,sk48-d8078629,1,1396,[8],8,37923,
12,sk48,0244ce99-39bb-435c-a67b-558b5f0f7197.recording,sk48-d8078629,0,528,[3],3,13012,
13,sk48,6b7d5bb2-5987-48e3-a350-11de56b83cee.recording,sk48-d8078629,1,1843,[8],8,47727,
14,sk48,e29f3161-6692-4da7-98b2-985018e13472.recording,sk48-d8078629,0,434,[3],3,13411,
15,sk48,3e464e09-7ab5-4d8e-8baf-d2b07aac6491.recording,sk48-d8078629,0,164,[1],1,5001,
16,tn36,47d0e2b1-25ee-442c-84ae-01d781f5e257.recording,tn36-ef4dde99,0,484,[1],1,7309,
17,tn36,28c6b31e-993d-483f-9584-c88bd15d423d.recording,tn36-ef4dde99,1,235,[7],7,27524,primary
18,tn36,8c62a0ab-bec9-443a-90a3-b69da21377d0.recording,tn36-ef4dde99,0,58,[0],1,4758,
19,tn36,544ffb3a-41d4-4711-a14b-9d2fb9e6e54e.recording,tn36-ef4dde99,0,19,[0],1,3741,
20,tn36,98d37f25-6357-4543-9eda-48136a48a3b4.recording,tn36-ef4dde99,1,506,[7],7,25712,
21,tn36,b7e8173a-76be-4a71-ae4b-b28561e86c9d.recording,tn36-ef4dde99,1,392,[7],7,27667,
22,tn36,90f13b17-9916-4d8a-81ad-dabf059bd943.recording,tn36-ef4dde99,1,250,[7],7,17208,
23,tn36,84115ab3-7401-4d00-b9ef-8ce102480e13.recording,tn36-ef4dde99,1,369,[7],7,23146,
24,tn36,eeb9ae5a-2abe-4f3a-8e49-af6b10f6c989.recording,tn36-ef4dde99,0,423,[6],6,27077,
25,tn36,85db062c-c74d-43fe-b6a9-8bd09b1c254b.recording,tn36-ef4dde99,0,336,[6],6,19891,comparison
26,tn36,0268d6a8-2294-473c-8ed0-f1fefbf4005b.recording,tn36-ef4dde99,0,498,"[0, 6]",1,9406,
27,tn36,b389c19f-8b5a-40d5-b6a4-8d42f32d327c.recording,tn36-ef4dde99,0,20,[0],1,3854,
28,tn36,18c6d4b0-8ca1-4f91-96da-54022676e5e3.recording,tn36-ef4dde99,0,9,[0],1,6090,
29,tn36,a343d0c8-ebbc-48a6-b0cf-24e831314ed0.recording,tn36-ef4dde99,1,261,[7],7,20202,
30,m0r0,6fff490d-2cca-4467-95a9-ccd8317bf1c5.recording,m0r0-492f87ba,1,1178,[6],6,70699,primary
31,m0r0,920ac028-2c8b-42f0-84b6-f0ba07108046.recording,m0r0-492f87ba,0,993,[4],4,22505,comparison
32,m0r0,db341128-f220-46a6-925c-3be5056cc99e.recording,m0r0-492f87ba,1,1130,[6],6,41299,
33,m0r0,b4f5fd23-2ede-4f2e-8086-20164cef9f77.recording,m0r0-492f87ba,1,1304,[6],6,44117,
34,m0r0,1e451cef-6c66-489d-8839-569949055264.recording,m0r0-492f87ba,1,1607,[6],6,55095,
35,m0r0,921c2033-c93a-4349-9793-377cd6071b87.recording,m0r0-492f87ba,0,501,[0],1,10254,
36,m0r0,7748b6e5-b3b0-4546-a75c-81d810ba25d4.recording,m0r0-492f87ba,0,185,[1],1,9398,
37,m0r0,276e8a6c-5fdc-4b17-b5fa-9f8d640e0a99.recording,m0r0-492f87ba,0,954,[5],5,47935,
38,m0r0,a98ab7b3-64fe-41ab-a357-c65519897691.recording,m0r0-492f87ba,1,970,[6],6,56400,
39,m0r0,0e1adaaf-fe7e-47f3-923f-97791151e11e.recording,m0r0-492f87ba,1,410,[6],6,26126,
40,m0r0,f03a5fda-7dc2-44ee-a0ce-0b9ad50074e1.recording,m0r0-492f87ba,1,1103,[6],6,30946,
41,bp35,9cedf1a9-3337-4472-8208-c2042bb4ad73.recording,bp35-0a0ad940,0,612,[8],8,51113,
42,bp35,132b5f89-e602-4684-b845-de63146ef402.recording,bp35-0a0ad940,0,616,[8],8,79758,primary
43,bp35,cf4004d8-6975-4a28-9033-9c91d047728d.recording,bp35-0a0ad940,0,369,[6],6,54706,
44,bp35,3098fb46-f1d7-4eae-a2b2-60e03a55b294.recording,bp35-0a0ad940,0,583,[8],8,48931,
45,bp35,506a5ecb-7568-4e23-b5f3-da94be47ad14.recording,bp35-0a0ad940,0,378,[5],5,43575,
46,bp35,e81af5ee-065a-4f3f-b8b4-3c3897d8a3fc.recording,bp35-0a0ad940,0,2,[0],1,2461,
47,bp35,58bc55eb-02e2-4d0f-8731-d06fc1f94eb4.recording,bp35-0a0ad940,0,734,[7],7,60113,
48,bp35,d731594b-0b14-41f0-8615-d24fe0574776.recording,bp35-0a0ad940,0,655,[7],7,65667,
49,bp35,092c5051-3cda-4a35-bf7f-1323253b797d.recording,bp35-0a0ad940,1,637,[9],9,69007,
50,bp35,37623647-bd22-417c-831c-69b557ad1a05.recording,bp35-0a0ad940,0,792,[7],7,59816,
51,bp35,01e79bb8-4697-45c2-9bde-8de3b8c25169.recording,bp35-0a0ad940,1,554,[9],9,54898,comparison
52,bp35,5003fba9-c264-47cb-8f34-9108a5ee9df0.recording,bp35-0a0ad940,0,1,[0],1,2596,
53,bp35,2078567b-7d84-4bd4-8b8a-0f427c417c78.recording,bp35-0a0ad940,0,10,[0],1,6622,
54,bp35,3493839a-d1a7-4abf-8d80-636daa3cd20c.recording,bp35-0a0ad940,0,693,[8],8,64653,
55,cn04,6fcb0288-417d-44ce-a3a8-0d27bf16c270.recording,cn04-2fe56bfb,0,183,[3],3,23072,
56,cn04,a52b9c50-af36-46fd-9c70-3132d7f422cb.recording,cn04-2fe56bfb,0,360,[3],3,22643,
57,cn04,1e88ef7d-2a0c-4d4b-94c4-9d50ac0e6b58.recording,cn04-2fe56bfb,1,779,[6],6,55250,
58,cn04,368a1bda-05c2-4995-a0f3-947c28a6e9fc.recording,cn04-2fe56bfb,1,556,[6],6,28558,
59,cn04,14a28e82-4f24-4cb6-8810-39d70b9d0b4b.recording,cn04-2fe56bfb,0,411,[1],1,10147,
60,cn04,1fe0b79b-b173-4ac6-9bc0-9d232c074233.recording,cn04-2fe56bfb,0,262,[2],2,16235,comparison
61,cn04,8150a401-8105-4cb3-abf1-283b9a04ec14.recording,cn04-2fe56bfb,0,1,[0],1,1369,
62,cn04,cc4c82aa-4768-4505-a109-c4a99a65c0bb.recording,cn04-2fe56bfb,1,849,[6],6,57702,
63,cn04,b2a7c347-81f0-4075-a54b-96ddd336bd36.recording,cn04-2fe56bfb,1,1521,[6],6,72904,primary
64,cn04,ce770223-3119-448e-970c-6610fe1ae3e2.recording,cn04-2fe56bfb,0,682,[1],1,12457,
65,cn04,49345faa-7b95-4661-ba20-594e12326e76.recording,cn04-2fe56bfb,1,1164,[6],6,42472,
66,cn04,295a945d-dd3d-4608-b989-0e3fc98ab481.recording,cn04-2fe56bfb,1,1206,[6],6,38198,
67,dc22,9449d581-3d73-4b15-b78c-f56ff37ca246.recording,dc22-fdcac232,0,101,[0],1,6405,
68,dc22,f1995788-de5b-478a-9f68-88bb4eba2a0d.recording,dc22-fdcac232,1,1427,[6],6,35937,primary
69,dc22,a5156a49-8a56-4025-9264-d5f3fd840bec.recording,dc22-fdcac232,0,527,[4],4,34128,
70,dc22,884a349e-56b9-42c0-8a57-934680d13128.recording,dc22-fdcac232,0,735,[5],5,26160,
71,dc22,e8f76fe2-d90a-44ec-97cd-d09ec9b9cbcd.recording,dc22-fdcac232,1,1213,[6],6,40812,
72,dc22,ab11e695-b9d2-42f4-871c-8f90aa8c3a85.recording,dc22-fdcac232,1,598,[6],6,28952,
73,dc22,1b9a2041-bc99-4b7b-8d99-041f0503956f.recording,dc22-fdcac232,1,1192,[6],6,42702,
74,dc22,abb26776-6bf6-456f-88c9-3f20a73a24a0.recording,dc22-fdcac232,0,587,[4],4,20221,
75,dc22,ef0eff5a-de59-4a57-a592-4ac189a50ffa.recording,dc22-fdcac232,0,406,[3],3,17568,comparison
76,dc22,5e79ec77-f723-4b0c-8e66-971c13ff2f28.recording,dc22-fdcac232,0,509,[4],4,21835,
77,dc22,1c34d3f9-d7da-4902-b41b-2e918419249f.recording,dc22-fdcac232,0,1398,[5],5,30758,
78,tu93,74d1dff4-3de7-4911-9574-21c93fd257ae.recording,tu93-0768757b,1,378,[9],9,34885,
79,tu93,0578a2a4-9131-4b10-b1d9-fd43f85d4d6a.recording,tu93-0768757b,1,440,[9],9,39023,primary
80,tu93,d0d82c5b-c0cc-4c83-a8a4-fb00fd3ee08a.recording,tu93-0768757b,0,128,[3],3,11885,
81,tu93,66fb3310-f64d-4621-80c3-9b516aa68999.recording,tu93-0768757b,1,545,[9],9,35549,
82,tu93,08af7154-445e-4789-8400-13e8d39a7064.recording,tu93-0768757b,0,117,[3],3,11449,
83,tu93,b1b2959e-39a7-4c4d-aefe-9c146c145048.recording,tu93-0768757b,1,668,[9],9,36940,
84,tu93,c1bb151e-13e7-4cdc-9537-5a62f87dd545.recording,tu93-0768757b,0,530,[4],4,13164,
85,tu93,4efce135-0cd8-4a9c-97e7-8d670e3d343b.recording,tu93-0768757b,1,278,[9],9,35001,
86,tu93,7f4b4e31-fcb8-4d16-ba3d-81df53efdfdd.recording,tu93-0768757b,1,439,[9],9,31937,
87,tu93,e5b51453-dcff-40d8-a068-4da064db741f.recording,tu93-0768757b,1,409,[9],9,36990,
88,tu93,c56dafbb-0698-45ef-a007-f19464c472a2.recording,tu93-0768757b,1,563,[9],9,41053,
89,tu93,2e61febd-8fcf-4b82-8f3e-ebec2d0e6923.recording,tu93-0768757b,1,634,[9],9,49456,
90,tu93,7597d7f8-d4cb-4d67-b565-fd8f9d72a739.recording,tu93-0768757b,0,191,[4],4,13354,comparison
91,lp85,02ec6bb4-1419-41e7-a888-b6a98b45abda.recording,lp85-305b61c3,0,48,[1],1,861,
92,lp85,ab38af90-db82-4d68-9b72-0ccdbe274099.recording,lp85-305b61c3,1,368,"[0, 8]",8,45690,
93,lp85,75dd891e-a56e-4d03-b890-7d8a4ae01830.recording,lp85-305b61c3,0,168,[1],1,8658,
94,lp85,eec9c692-6e11-4e7d-a01e-69d2f6ea939a.recording,lp85-305b61c3,0,222,[7],7,47492,
95,lp85,aec841b6-4faf-4236-bbff-557cf77db467.recording,lp85-305b61c3,0,359,[3],3,24379,
96,lp85,df57c5db-5678-41c4-8f4b-ff4b4e2d9c5e.recording,lp85-305b61c3,1,277,[8],8,2463,
97,lp85,7cec8346-ff5e-4af8-92ec-69c983e35ff1.recording,lp85-305b61c3,0,317,[5],5,31311,
98,lp85,d5a4ed93-6757-473b-be54-87438575363f.recording,lp85-305b61c3,0,34,[0],1,7939,
99,lp85,305c24c4-6bcf-4323-b511-13e083be1882.recording,lp85-305b61c3,0,149,[4],4,23547,
100,lp85,380aead7-3d4f-427b-8933-4b76d09b3a45.recording,lp85-305b61c3,1,947,[8],8,59584,primary
101,lp85,4a980020-408b-4cf2-9baa-0460c8d9f2ef.recording,lp85-305b61c3,0,151,[2],2,1705,
102,lp85,c49e1411-c863-42c0-a14d-1875a5b2db0f.recording,lp85-305b61c3,1,420,[8],8,33703,
103,lp85,dc1c2fbc-c14b-4b6e-b44b-4311dabba550.recording,lp85-305b61c3,0,214,[6],6,33120,
104,lp85,03f416d0-f5af-4822-8427-0b010ef928ed.recording,lp85-305b61c3,0,228,[2],2,15068,
105,lp85,18aeec67-f441-4ea1-92c2-e19dd9802cf6.recording,lp85-305b61c3,1,246,[8],8,41602,
106,lp85,8070629d-1e1c-4343-abb5-4b5e9021ffb5.recording,lp85-305b61c3,0,269,[5],5,5811,
107,lp85,17f1dce5-db63-4b50-bf7f-38481c917e68.recording,lp85-305b61c3,0,32,"[0, 1]",1,6811,
108,lp85,2bdef327-cfbe-4404-87e1-3816f7838334.recording,lp85-305b61c3,0,14,[1],1,4604,
109,lp85,fb4ba1e6-2ee1-487f-9dca-4ad6d78d3666.recording,lp85-305b61c3,0,14,[0],1,3609,
110,lp85,8677bd80-6f0c-4289-a10d-5cee33ef288d.recording,lp85-305b61c3,0,19,[0],1,6546,
111,lp85,1f996ded-1669-4e10-813a-0a7e9f7db34c.recording,lp85-305b61c3,0,8,[0],1,797,
112,lp85,c43754a4-4f55-42ac-a8a6-299758cb17cf.recording,lp85-305b61c3,0,211,[1],1,6195,
113,lp85,05b0a343-1666-4286-8c81-c5d212f3cf72.recording,lp85-305b61c3,1,385,[8],8,47212,
114,lp85,6d80a815-bcac-432f-a310-d0b6f3bcb665.recording,lp85-305b61c3,0,298,[4],4,28688,
115,lp85,a6c7591f-f185-42f6-afce-a9d05e744dd0.recording,lp85-305b61c3,0,349,[4],4,14865,
116,lp85,a9a6aed8-8d10-4ee0-afe0-e0c5000ba06f.recording,lp85-305b61c3,0,20,[0],1,617,
117,lp85,5541ada3-5705-407e-977a-08f7a86e6544.recording,lp85-305b61c3,0,7,[0],1,5722,
118,lp85,438fcfdf-ceed-474b-ad62-878c3fe3b69f.recording,lp85-305b61c3,0,137,[1],1,10930,
119,lp85,ef1c5813-724c-4910-b23c-215815c6a336.recording,lp85-305b61c3,1,555,[8],8,51375,
120,lp85,6b63d889-ccaf-434a-929e-f74076fb6c62.recording,lp85-305b61c3,1,419,[8],8,38322,
121,lp85,ea54afd5-a445-4946-bb02-df015265caa9.recording,lp85-305b61c3,0,657,[7],7,2355,
122,lp85,57470621-98b5-420b-8bd0-8376c0f7c4de.recording,lp85-305b61c3,0,15,[0],1,7495,
123,lp85,572af32f-449f-419a-a5d0-8066a765fcdf.recording,lp85-305b61c3,0,1,[0],1,2944,
124,lp85,4a3b9486-4deb-4b7d-b824-3cd7c05c5e0b.recording,lp85-305b61c3,0,23,[0],1,7527,
125,lp85,813ed237-7717-491d-8524-bab13aef81c9.recording,lp85-305b61c3,1,306,[8],8,31498,
126,lp85,072f2a2b-5624-48b5-a3f5-83edf1879de5.recording,lp85-305b61c3,1,367,[8],8,4233,
127,lp85,9fb719e2-d70e-48fc-a29e-b45a4228dc0e.recording,lp85-305b61c3,0,1310,[5],5,34243,
128,lp85,543d2fc4-84f4-497d-a87a-47bd578d8410.recording,lp85-305b61c3,1,422,[8],8,35641,
129,lp85,7fa2edf9-6ab6-483a-a4d5-a946a9fa68a3.recording,lp85-305b61c3,0,21,[0],1,6064,
130,lp85,4bcb78d5-e9b5-4cd6-91ac-4234a7e7ba9e.recording,lp85-305b61c3,0,345,[4],4,17951,comparison
131,lp85,2bfe836e-615b-4ebf-8b1c-6763557fbdb7.recording,lp85-305b61c3,1,543,[8],8,3232,
132,lp85,3d73793f-dea7-413a-9b98-93ea630fd60e.recording,lp85-305b61c3,0,8,[0],1,4879,
133,lp85,f570ae55-c6d3-43d0-bf7b-614c080d330f.recording,lp85-305b61c3,0,672,[7],7,31479,
134,lp85,a0504234-bec5-4879-9e76-f0df8be63cd0.recording,lp85-305b61c3,0,251,[5],5,42234,
135,lp85,f6bb890a-1be1-45fc-8a0c-ce303d2f2880.recording,lp85-305b61c3,0,22,[0],1,5056,
136,lp85,6d5c4537-5244-4532-9187-aafdb08d0783.recording,lp85-305b61c3,0,28,[0],1,1150,
137,lp85,8fafc2ba-fe99-47e2-a9ec-4369e51bfd6b.recording,lp85-305b61c3,0,221,[4],4,16545,
138,lp85,662864be-cfe2-4d9c-b1a5-fc57a7464786.recording,lp85-305b61c3,1,869,[8],8,48138,
139,lp85,38ccc118-ea37-40c7-9dd0-477e9b397c46.recording,lp85-305b61c3,0,52,[0],1,7970,
140,lp85,72f71d14-f711-4964-bc44-cd10110dab84.recording,lp85-305b61c3,1,403,[8],8,52664,
141,lp85,9cd4a0d0-3872-464c-930f-42cec2a79252.recording,lp85-305b61c3,1,237,[8],8,9110,
142,lp85,6e91a6cf-9fdd-467c-b6fe-e17d6edd8358.recording,lp85-305b61c3,0,162,[1],1,9470,
143,lp85,d9260832-f236-463a-98e8-0cd8e4b427b2.recording,lp85-305b61c3,0,280,[2],2,13779,
144,lp85,eab6d9f0-b851-4446-a9f2-b076a257c597.recording,lp85-305b61c3,0,166,[1],1,6083,
145,ka59,52dd648e-dc33-4b71-8bb8-6ce0f3bd61ed.recording,ka59-38d34dbb,0,50,[0],1,6111,
146,ka59,021d8b1d-980f-4ff0-a40d-6a02dc27c415.recording,ka59-38d34dbb,1,441,[7],7,3641,
147,ka59,fa26a895-2e85-4227-ab94-29ab00efa8b8.recording,ka59-38d34dbb,0,606,[5],5,24387,
148,ka59,c714584f-2af3-442a-89d3-aed9bddbf705.recording,ka59-38d34dbb,1,826,[7],7,37284,
149,ka59,9bd8dbeb-72a0-464d-b97e-117fbc3f3981.recording,ka59-38d34dbb,0,119,[0],1,9133,
150,ka59,993191db-ce93-425f-ac62-c6d0a023afa8.recording,ka59-38d34dbb,0,94,[1],1,12832,comparison
151,ka59,9cf1e190-5731-47fc-8a94-fe148312bb9d.recording,ka59-38d34dbb,0,136,[1],1,9057,
152,ka59,7c3222bf-3d88-40df-8d35-eabd7a572642.recording,ka59-38d34dbb,0,745,[6],6,36875,
153,ka59,df12c800-c18c-494e-9949-c9fac56cf863.recording,ka59-38d34dbb,1,904,[7],7,47593,primary
154,ka59,6a1d161a-29f9-497d-8ec5-574e61085adc.recording,ka59-38d34dbb,0,33,[0],1,6489,
155,wa30,d4fc9e5d-56c3-4715-b4f6-bc231214e789.recording,wa30-ee6fef47,0,2208,[8],8,59546,
156,wa30,2438c147-5a11-4cf3-9caa-91d1a6d9f7b5.recording,wa30-ee6fef47,0,244,[1],1,9012,
